peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
0,1.0,0,210.125667382,264.330993652,477875.1875,M+H,1.0000,210.12567,2
0,1.0,1,210.125634359,262.907012939,447065.03125,M+H,1.0000,210.12563,2
1,1.0,2,155.058210394,355.609985352,1902086.625,M+CH3OH+H,1.0000,123.03207,2
3,1.0,1,272.160564165,261.294006348,351938.9375,M+Na,1.0000,250.17790,4
3,1.0,0,272.160031342,260.221008301,445589.78125,M+Na,1.0000,250.17787,3
3,1.0,2,272.160272064,258.893005371,355962.0625,M+Na,1.0000,250.17788,4
4,1.0,1,460.206649423,416.450012207,213541.890625,M+2ACN+H,0.9980,378.15255,3
10,1.0,2,133.025205714,550.732971191,1070798.25,M+Na,1.0000,111.04329,3
10,1.0,0,133.025202624,550.958007812,1079868.125,M+Na,1.0000,111.04328,2
10,1.0,1,133.025171343,551.95300293,1006336.5,M+Na,1.0000,111.04327,2
13,1.0,2,213.040156835,434.824005127,310214.3125,M+K,1.0000,175.08445,2
15,1.0,1,160.073319551,653.760986328,102548.054688,M+CH3OH+H,0.9990,128.04732,2
16,1.0,0,346.185413685,680.219970703,248865.359375,M+2ACN+H,1.0000,264.13196,2
16,1.0,1,346.185150009,678.90802002,201537.1875,M+2ACN+H,0.9980,264.13197,2
16,1.0,2,346.185247079,678.146972656,267851.375,M+2ACN+H,0.8850,264.13199,2
17,1.0,1,1012.30910533,692.080993652,536140.0,M+Na,1.0000,990.32700,2
17,1.0,2,1012.30940064,689.789001465,586983.375,M+Na,1.0000,990.32692,2
17,1.0,0,1012.30937331,689.007019043,616221.5,M+Na,1.0000,990.32664,2
19,1.0,2,345.134299578,233.731002808,503404.28125,M+H,0.6670,344.12701,3
21,1.0,1,97.0527543137,662.565979004,258463.09375,M+NH4,0.5520,80.02620,2
23,1.0,1,193.0949788,544.473999023,373726.1875,M+CH3OH+H,1.0000,161.06877,2
23,1.0,0,193.095111026,547.239013672,397622.1875,M+CH3OH+H,1.0000,161.06880,2
23,1.0,2,193.095117704,543.270019531,383000.96875,M+CH3OH+H,1.0000,161.06882,2
25,1.0,0,322.189198514,253.628005981,108098.09375,M+2ACN+H,0.9990,240.13602,4
26,1.0,0,378.1386963,294.468994141,93106.5,M+K,1.0000,340.18269,2
29,1.0,0,159.100592157,641.309997559,304744.65625,M+CH3OH+H,1.0000,127.07451,2
31,1.0,1,275.209513878,255.949996948,77222.53125,M+CH3OH+H,0.7190,242.17624,2
32,1.0,0,363.119534584,365.688995361,96995.703125,M+K,0.5120,325.16375,2
33,1.0,1,172.121210471,396.877990723,3513018.25,M+ACN+H,1.0000,131.09465,2
36,1.0,1,207.125963912,272.179992676,201716.609375,M+ACN+H,0.5190,165.09209,2
38,1.0,2,489.24433592,210.37399292,288638.375,M+CH3OH+H,1.0000,457.21776,2
39,1.0,1,488.239320086,231.005004883,57751.6132812,M+Na,1.0000,465.24940,3
50,1.0,1,284.102597541,306.381011963,61014.109375,M+H,1.0000,284.10260,2
54,1.0,2,537.19207962,606.809997559,1954312.75,M+Na,1.0000,515.20977,2
54,1.0,0,537.191342006,604.70098877,2239996.5,M+Na,1.0000,515.20919,2
56,1.0,1,308.219800008,253.462997437,494296.59375,M+H,1.0000,308.21980,2
56,1.0,0,308.219837116,250.774993896,538652.8125,M+H,1.0000,308.21984,2
56,1.0,2,308.219787608,249.641998291,501232.6875,M+H,1.0000,308.21979,2
57,1.0,2,123.032079079,306.986999512,2523077.25,M+H,1.0000,123.03208,2
61,1.0,2,137.047717224,547.018005371,537569344.0,M+H,1.0000,137.04772,3
61,1.0,0,137.047718654,545.999023438,456857600.0,M+H,1.0000,137.04772,3
61,1.0,1,137.047668552,546.958007812,365441056.0,M+H,1.0000,137.04767,3
71,1.0,1,212.091067082,1330.9699707,203485.4375,M+H,1.0000,212.09107,2
75,1.0,0,276.110876448,405.183013916,315867.78125,M+ACN+H,0.7100,235.08425,4
75,1.0,2,276.110937495,412.239013672,380033.90625,M+ACN+H,1.0000,235.08443,5
77,1.0,2,177.051439832,623.013977051,2379972.0,M+Na,1.0000,155.06954,3
77,1.0,1,177.051398934,626.302001953,3069820.0,M+Na,1.0000,155.06950,3
77,1.0,0,177.051374612,626.051025391,3473530.25,M+Na,1.0000,155.06948,3
78,1.0,2,244.178574722,276.179992676,118988.71875,M+IsoProp+H,0.9420,183.11385,2
80,1.0,0,244.121049173,285.165008545,4618171.0,M+H,1.0000,244.12105,2
80,1.0,1,244.121080714,283.929992676,5322836.0,M+H,1.0000,244.12108,2
82,1.0,0,184.146329218,256.117004395,121268.304688,M+IsoProp+H,0.7480,124.08881,2
83,1.0,0,245.008965652,448.381011963,210880.84375,M+K,1.0000,207.05261,2
83,1.0,2,245.008780875,444.856994629,316051.65625,M+K,1.0000,207.05254,2
83,1.0,1,245.008758382,443.065002441,299264.3125,M+K,1.0000,207.05256,2
85,1.0,0,306.255841331,241.75100708,516133.9375,M+H,1.0000,306.25584,2
85,1.0,2,306.255917127,243.10899353,366655.59375,M+H,1.0000,306.25592,2
87,1.0,2,176.06848078,422.312988281,286761.375,M+CH3OH+H,0.9990,144.04230,3
90,1.0,1,336.157124164,223.442993164,405067.625,M+H,0.8540,335.14985,2
93,1.0,2,519.243239756,427.268005371,442735.09375,M+H,1.0000,519.24324,2
94,1.0,1,170.094305523,250.79699707,323222.875,M+H,1.0000,170.09431,2
94,1.0,0,170.094256225,247.052001953,326883.21875,M+H,1.0000,170.09426,2
95,1.0,0,475.736975278,1329.13000488,175908.65625,M+H,1.0000,475.73698,2
95,1.0,1,475.736968266,1329.7199707,195106.375,M+H,1.0000,475.73697,2
97,1.0,2,335.172777039,215.320007324,266329.5,M+NH4,1.0000,318.14685,3
98,1.0,2,213.100095993,414.710998535,1073669.875,M+H,0.6260,212.09282,3
101,1.0,0,315.129456098,470.942993164,3205081.75,M+ACN+Na,0.6350,252.12072,4
101,1.0,1,315.129441122,466.731994629,3235991.0,M+ACN+Na,0.7450,252.12068,5
