peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
0,1.0,0,516.067165468,420.519989014,168918.203125,M+K,1.0000,478.11113,2
0,1.0,1,516.067412759,421.412994385,204761.484375,M+K,0.9990,478.11114,2
1,1.0,0,478.111132324,421.989013672,938849.6875,M+H,1.0000,478.11113,2
1,1.0,1,478.111143905,421.412994385,1119184.875,M+H,1.0000,478.11114,2
1,1.0,2,478.111372459,424.789001465,1113332.125,M+H,1.0000,478.11137,1
2,1.0,0,174.13682798,842.57800293,12557210.0,M+H,1.0000,174.13683,1
2,1.0,1,174.136830444,842.159973145,14117307.0,M+H,1.0000,174.13683,1
2,1.0,2,174.136832893,842.767028809,17457572.0,M+H,1.0000,174.13683,1
3,1.0,0,251.100297691,641.309997559,6466016.0,M+H,1.0000,251.10030,1
3,1.0,1,251.100356623,641.314025879,6087699.0,M+H,1.0000,251.10036,1
3,1.0,2,251.100364783,640.500976562,7188941.5,M+H,1.0000,251.10036,1
4,1.0,0,149.070172595,438.406005859,15326802.0,M+H,1.0000,149.07017,1
4,1.0,1,149.070183492,438.059997559,14931175.0,M+H,1.0000,149.07018,1
4,1.0,2,149.070143924,438.544006348,20234622.0,M+H,1.0000,149.07014,1
5,1.0,0,402.225348851,225.863998413,143173.328125,M+H,1.0000,402.22535,1
5,1.0,1,402.225469162,228.520996094,180851.25,M+H,1.0000,402.22547,1
5,1.0,2,402.225383953,225.602996826,185836.890625,M+H,1.0000,402.22538,1
6,1.0,0,189.100082513,503.147003174,771710.8125,M+H,1.0000,189.10008,1
6,1.0,1,189.100079965,504.097991943,691659.5,M+H,1.0000,189.10008,1
6,1.0,2,189.1000578,500.632995605,609180.3125,M+H,1.0000,189.10006,1
7,1.0,0,146.088388064,643.789978027,12433920.0,M+H,1.0000,146.08839,1
7,1.0,1,146.088406537,643.79699707,12337607.0,M+H,1.0000,146.08841,1
7,1.0,2,146.088414478,644.244018555,13481822.0,M+H,1.0000,146.08841,1
8,1.0,0,151.916348613,1310.68005371,30385.9414062,M+H,1.0000,151.91635,1
8,1.0,1,151.916337698,1313.95996094,34159.9375,M+H,1.0000,151.91634,1
8,1.0,2,151.916401953,1311.01000977,30499.5664062,M+H,1.0000,151.91640,1
9,1.0,0,503.701969683,1368.75,152223.9375,M+H,1.0000,503.70197,1
9,1.0,1,503.702200844,1372.52001953,165866.875,M+H,1.0000,503.70220,1
9,1.0,2,503.702165239,1369.29003906,203581.109375,M+H,1.0000,503.70217,1
10,1.0,0,393.251498702,204.50100708,713549.25,M+NH4,0.5410,375.21767,1
10,1.0,1,393.251409209,205.544006348,501497.8125,M+NH4,0.6460,375.21749,1
10,1.0,2,393.251443635,205.37600708,494238.625,M+NH4,1.0000,375.21756,2
11,1.0,2,414.180488783,205.37600708,313102.125,M+K,1.0000,375.21756,2
12,1.0,1,119.037142183,436.819000244,106376.890625,M+H,1.0000,119.03714,1
12,1.0,2,119.03711959,439.782989502,144613.828125,M+H,1.0000,119.03712,1
13,1.0,1,259.027950256,306.381011963,86093.515625,M+K,1.0000,221.07251,2
13,1.0,2,259.027964694,292.20300293,94468.3984375,M+K,0.9980,221.07257,2
14,1.0,1,221.072506227,306.381011963,672736.8125,M+H,1.0000,221.07251,2
14,1.0,2,221.072569438,300.036010742,404464.875,M+H,1.0000,221.07257,2
15,1.0,0,330.140239323,798.200012207,1089658.625,M+Na,1.0000,308.15818,3
15,1.0,1,330.140280165,791.127990723,905879.5625,M+Na,1.0000,308.15822,3
15,1.0,2,330.140257173,792.255004883,1307708.875,M+Na,1.0000,308.15820,3
16,1.0,0,346.114284528,798.200012207,145322.671875,M+K,1.0000,308.15818,3
16,1.0,1,346.114262456,791.127990723,151265.890625,M+K,1.0000,308.15822,3
16,1.0,2,346.114381024,797.338989258,202337.59375,M+K,1.0000,308.15820,3
17,1.0,0,308.158183206,798.200012207,21054264.0,M+H,1.0000,308.15818,3
17,1.0,1,308.158218372,797.685974121,20345148.0,M+H,1.0000,308.15822,3
17,1.0,2,308.158200234,797.338989258,23070522.0,M+H,1.0000,308.15820,3
18,1.0,1,312.216241772,890.606994629,36535.2109375,M+H,1.0000,312.21624,1
18,1.0,2,312.216128387,886.96697998,52944.5390625,M+H,1.0000,312.21613,1
19,1.0,1,183.089561238,411.279998779,527697.875,M+IsoProp+H,0.5010,123.03209,4
20,1.0,0,123.032011982,413.032989502,12376713.0,M+H,1.0000,123.03201,2
20,1.0,1,123.032088863,413.970001221,12522240.0,M+H,1.0000,123.03209,4
