peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
0,1.0,0,516.067165468,420.519989014,168918.203125,M+K,1.0000,478.11113,2
0,1.0,1,516.067412759,421.412994385,204761.484375,M+K,0.9990,478.11114,2
1,1.0,0,478.111132324,421.989013672,938849.6875,M+H,1.0000,478.11113,2
1,1.0,1,478.111143905,421.412994385,1119184.875,M+H,1.0000,478.11114,2
10,1.0,2,393.251443635,205.37600708,494238.625,M+NH4,1.0000,375.21756,2
11,1.0,2,414.180488783,205.37600708,313102.125,M+K,1.0000,375.21756,2
13,1.0,1,259.027950256,306.381011963,86093.515625,M+K,1.0000,221.07251,2
13,1.0,2,259.027964694,292.20300293,94468.3984375,M+K,0.9980,221.07257,2
14,1.0,1,221.072506227,306.381011963,672736.8125,M+H,1.0000,221.07251,2
14,1.0,2,221.072569438,300.036010742,404464.875,M+H,1.0000,221.07257,2
15,1.0,0,330.140239323,798.200012207,1089658.625,M+Na,1.0000,308.15818,3
15,1.0,1,330.140280165,791.127990723,905879.5625,M+Na,1.0000,308.15822,3
15,1.0,2,330.140257173,792.255004883,1307708.875,M+Na,1.0000,308.15820,3
16,1.0,0,346.114284528,798.200012207,145322.671875,M+K,1.0000,308.15818,3
16,1.0,1,346.114262456,791.127990723,151265.890625,M+K,1.0000,308.15822,3
16,1.0,2,346.114381024,797.338989258,202337.59375,M+K,1.0000,308.15820,3
17,1.0,0,308.158183206,798.200012207,21054264.0,M+H,1.0000,308.15818,3
17,1.0,1,308.158218372,797.685974121,20345148.0,M+H,1.0000,308.15822,3
17,1.0,2,308.158200234,797.338989258,23070522.0,M+H,1.0000,308.15820,3
19,1.0,1,183.089561238,411.279998779,527697.875,M+IsoProp+H,0.5010,123.03209,4
20,1.0,0,123.032011982,413.032989502,12376713.0,M+H,1.0000,123.03201,2
20,1.0,1,123.032088863,413.970001221,12522240.0,M+H,1.0000,123.03209,4
20,1.0,2,123.032105368,418.42098999,3265940.25,M+H,1.0000,123.03211,4
21,1.0,1,205.085175117,412.733001709,239119.90625,M+2ACN+H,1.0000,123.03209,4
21,1.0,2,205.08514265,414.710998535,260116.859375,M+2ACN+H,1.0000,123.03211,4
22,1.0,2,140.058596405,418.42098999,367017.46875,M+NH4,1.0000,123.03211,4
23,1.0,0,201.045817173,409.089996338,278181.5,M+DMSO+H,1.0000,123.03201,2
23,1.0,1,201.045987101,412.733001709,181603.015625,M+DMSO+H,1.0000,123.03209,4
24,1.0,2,155.058238345,419.658996582,2203450.75,M+CH3OH+H,1.0000,123.03211,4
27,1.0,0,425.132044591,240.354003906,893462.875,M+K,0.9990,387.17621,2
27,1.0,1,425.132225312,240.376998901,1119946.125,M+K,1.0000,387.17635,2
27,1.0,2,425.132271262,240.294998169,1007464.0,M+K,1.0000,387.17630,2
28,1.0,0,387.176210249,240.354003906,2967882.5,M+H,1.0000,387.17621,2
28,1.0,1,387.17634774,241.753997803,2940344.25,M+H,1.0000,387.17635,2
28,1.0,2,387.176301534,239.052001953,1765574.75,M+H,1.0000,387.17630,2
30,1.0,0,211.02468834,437.165008545,284244.03125,M+K,0.9990,173.06882,2
31,1.0,0,173.068817329,438.406005859,3022813.5,M+H,1.0000,173.06882,2
41,1.0,0,287.184251455,281.432006836,125597.28125,M+NH4,0.9100,270.15774,2
41,1.0,2,287.184199652,274.937011719,79565.5546875,M+NH4,1.0000,270.15770,2
42,1.0,0,270.157741862,282.677001953,243543.84375,M+H,1.0000,270.15774,2
42,1.0,2,270.15769996,276.179992676,206530.890625,M+H,1.0000,270.15770,2
45,1.0,0,268.130843537,244.410003662,214196.578125,M+CH3OH+H,0.7180,235.09725,3
45,1.0,2,268.130969272,241.867996216,232795.375,M+CH3OH+H,0.9990,235.09732,3
46,1.0,0,296.162396926,236.287002563,200904.140625,M+IsoProp+H,0.9140,235.09725,3
46,1.0,1,296.162468614,236.324005127,131970.578125,M+IsoProp+H,0.7810,235.09727,2
46,1.0,2,296.162534029,236.216003418,213044.21875,M+IsoProp+H,1.0000,235.09732,3
47,1.0,0,236.104473607,235.044006348,2193247.5,M+H,0.7370,235.09725,3
47,1.0,1,236.104547042,235.080993652,2052481.5,M+H,0.6510,235.09727,2
47,1.0,2,236.10443043,234.972000122,820174.75,M+H,0.9310,235.09732,3
53,1.0,0,341.132183234,670.09197998,3868974.5,M+NH4,0.9180,323.09829,2
53,1.0,2,341.132154302,666.945983887,4146739.25,M+NH4,0.5030,323.09825,2
