peakset,file,m/z,rt,intensity
0,0,159.894076648,1327.88000488,4090062.75
0,1,159.894081427,1324.4699707,4041590.0
0,2,159.894079999,1331.05004883,4540443.5
1,0,133.110248191,764.265014648,66346.796875
1,1,133.110261349,762.302001953,46522.0664062
1,2,133.11021546,766.489013672,90116.484375
2,0,95.9204696385,1424.31005859,396004.78125
2,1,95.920470142,1425.51000977,389813.59375
2,2,95.9204719862,1430.20996094,493435.15625
3,0,285.14224917,548.476989746,1645754.875
3,1,285.14218942,551.95300293,1418165.5
3,2,285.142253588,549.494018555,1472763.875
4,0,270.073810455,370.654998779,2295334.0
4,1,270.073802981,374.131011963,1827786.875
4,2,270.073794724,363.727996826,1881119.5
5,1,169.073883127,400.783996582,3069408.75
5,2,169.073908131,396.588012695,2020282.5
6,0,152.083685175,248.292007446,185774.96875
6,1,152.083710882,249.554992676,145693.75
6,2,152.083695906,258.893005371,120217.679688
7,1,176.871441299,1329.7199707,156764.890625
7,2,176.871447499,1333.72998047,256578.921875
8,0,244.088171027,387.897003174,194066.296875
8,2,244.08810667,400.312988281,133451.671875
9,0,201.061227617,798.200012207,207250.296875
9,1,201.061232554,795.155029297,210293.203125
9,2,201.061248278,798.601989746,187107.390625
10,1,917.824171202,710.95098877,76531.5390625
10,2,917.823815875,704.094970703,61788.53125
11,0,277.822260684,1420.10998535,98248.546875
11,1,277.822277829,1422.95996094,117705.96875
11,2,277.822261007,1423.67004395,152909.59375
12,0,470.211303343,711.693969727,1796000.375
12,1,470.211302449,713.565979004,1570268.125
12,2,470.211321485,712.937988281,2404084.5
13,0,153.090096335,415.511993408,2377199.0
13,1,153.090190939,416.450012207,2425149.5
13,2,153.090228102,419.658996582,3351674.0
14,0,217.131398137,270.932006836,668425.0625
14,1,217.131390574,268.256011963,576464.4375
14,2,217.131381274,264.239990234,471218.96875
15,1,261.848432456,91.5238037109,46624.2890625
15,2,261.848340592,79.6512985229,66890.390625
16,1,134.094270468,362.582000732,2085809.0
16,2,134.094247704,362.489990234,4168948.25
17,0,195.072609898,435.829986572,220103.421875
17,1,195.072686861,438.059997559,242180.109375
17,2,195.072470524,438.544006348,283408.84375
18,0,215.152107617,235.044006348,3905013.5
18,1,215.152176274,235.080993652,4104928.75
18,2,215.152200389,233.731002808,4778798.5
19,0,206.199275956,929.484985352,1590243.625
19,1,206.199376731,932.153015137,1735177.625
19,2,206.199338318,937.429016113,3209189.75
20,0,211.120760546,407.855010986,405196.84375
20,1,211.120840154,410.042999268,372644.65625
20,2,211.120818172,413.476013184,519994.375
21,0,684.251753597,677.736022949,5630069.0
21,1,684.251737307,680.151000977,5765916.5
21,2,684.251747063,678.146972656,6257030.5
22,0,313.08488037,474.881011963,569279.6875
22,1,313.084768961,474.566009521,626307.625
22,2,313.084579668,474.044006348,610110.75
23,0,512.258371153,666.37298584,193811.171875
23,2,512.258040004,666.945983887,292505.53125
24,0,297.806249314,1327.88000488,717445.9375
24,1,297.806229663,1327.20996094,760449.6875
24,2,297.806263624,1329.80004883,908329.6875
25,1,398.252981357,277.529998779,224244.5625
25,2,398.253041991,272.447998047,197052.53125
26,0,127.034997231,668.853027344,401693.25
26,1,127.035002558,668.90802002,427276.375
26,2,127.034996003,661.989013672,454438.3125
27,0,85.0527233388,646.271972656,8953359.0
27,1,85.0527231594,646.276000977,7898020.0
27,2,85.052730715,645.484008789,7226141.0
28,0,294.146751846,229.710006714,394861.65625
28,1,294.146774486,220.742004395,347228.28125
28,2,294.146848291,229.643005371,387949.40625
29,0,267.156992939,869.758972168,291446.6875
29,1,267.157146782,872.398010254,283379.75
29,2,267.1572496,873.856018066,330711.84375
30,0,291.095034157,547.239013672,749744.5
30,1,291.094826779,546.958007812,795556.25
30,2,291.095157595,542.03302002,629730.75
31,0,211.063345561,877.633972168,87918.5
31,1,211.063378285,877.473022461,104495.523438
31,2,211.063393269,875.122009277,167512.6875
32,0,295.222804369,249.533996582,524839.1875
32,1,295.222860694,249.554992676,430509.59375
32,2,295.22282002,245.585998535,516948.34375
33,0,172.092851834,459.597991943,194624.0
33,1,172.092824227,456.791992188,163673.28125
33,2,172.092919419,458.773986816,180345.0
34,0,327.131765012,445.890014648,29501134.0
34,1,327.131736982,443.065002441,29483542.0
34,2,327.131733701,444.856994629,27066948.0
35,0,446.237606777,295.710998535,1073121.75
35,1,446.237689919,294.429992676,887875.75
35,2,446.237528378,284.007995605,548008.625
36,1,512.233773282,673.867980957,91494.7109375
36,2,512.234144716,671.940979004,103909.679688
37,0,513.309514147,205.735992432,451925.25
37,1,513.309235614,205.544006348,973008.6875
37,2,513.309359853,205.37600708,784794.6875
38,1,144.978221394,50.7864990234,126741.429688
38,2,144.978211838,60.3158988953,124974.773438
39,0,322.141709948,254.871002197,370395.0625
